Title,Length of Song,Artist Name,Album,Genre,Star,Plays,Release Date,Year,Skips,Last Played,Date Added To Library
The A Team,4:18,Ed Sheeran,+ (Deluxe Version),Pop,1,8,07/02/2010,2010,14,"21/08/2024, 8:00 AM","06/08/2020, 9:44 PM"
Aaya Na Tu,3:30,Arjun Kanungo & Momina Mustehsan,Aaya Na Tu - Single,Indian Pop,0,46,20/06/2018,2018,5,"09/07/2023, 8:37 PM","08/08/2020, 1:08 AM"
ABCD,3:26,"Pritam, Benny Dayal, Shefali Alvares & Yo Yo Honey Singh",Yaariyan (Original Motion Picture Soundtrack),Bollywood,0,,09/12/2013,2013,1,,"25/09/2024, 4:31 PM"
Abhi Kuch Dino Se,4:46,Pritam & Mohit Chauhan,Dil Toh Baccha Hai Ji (Original Motion Picture Soundtrack),Bollywood,1,5,23/12/2010,2010,7,"23/12/2022, 11:21 AM","13/05/2021, 5:25 PM"
Addicted,3:57,Prince Royce,Phase II,Salsa and Tropical,1,4,10/04/2012,2012,9,"28/01/2024, 9:09 AM","05/08/2020, 11:29 PM"
Adhoore,4:24,Vishal Dadlani & Alyssa Mendonsa,Break Ke Baad (Original Motion Picture Soundtrack),Bollywood,1,15,15/10/2010,2010,14,"03/10/2024, 8:21 AM","17/08/2020, 12:02 AM"
Admirin' You (feat. Preston Pablo),3:35,Karan Aujla & Ikky,Making Memories,Indian Pop,0,,04/08/2023,2023,,,"06/10/2024, 4:14 PM"
Adore You,3:27,Harry Styles,Fine Line,Pop,1,4,06/12/2019,2019,3,"21/08/2024, 7:08 AM","11/09/2023, 6:50 AM"
Age 19,3:09,Jass Manak,Age 19,Punjabi Pop,1,23,19/02/2019,2019,3,"21/08/2024, 8:12 AM","08/08/2020, 2:01 AM"
Ain't No Mountain High Enough,2:26,Marvin Gaye & Tammi Terrell,Gold: Marvin Gaye,R&B/Soul,0,3,20/04/1967,1967,4,"26/06/2024, 2:18 PM","05/05/2023, 5:07 PM"
Ajab Leher,4:02,Neeraj Shridhar,Break Ke Baad (Original Motion Picture Soundtrack),Bollywood,1,7,15/10/2010,2010,9,"21/08/2024, 8:17 AM","17/08/2020, 12:02 AM"
Ajj Din Chadheya,5:15,Rahat Fateh Ali Khan,Love Aaj Kal (Original Motion Picture Soundtrack),Bollywood,1,4,31/07/2009,2009,7,"21/08/2024, 7:22 AM","09/09/2020, 10:40 AM"
"Akhar (From ""Lahoriye"" Soundtrack)",3:40,Amrinder Gill & Jatinder Shah,"Akhar (From ""Lahoriye"" Soundtrack) - Single",Worldwide,2,10,21/03/2017,2017,15,"05/06/2024, 8:51 AM","26/09/2021, 8:47 PM"
Akhiyaan,3:12,Mitraz,Akhiyaan - Single,Pop,0,6,24/02/2022,2022,9,"21/08/2024, 8:27 AM","09/06/2022, 6:47 PM"
Akhiyaan Gulaab,2:51,Mitraz,Teri Baaton Mein Aisa Uljha Jiya (Original Motion Picture Soundtrack) - EP,Bollywood,0,1,19/01/2024,2024,,"07/10/2024, 8:49 AM","06/10/2024, 6:35 PM"
Ale,4:40,"Pritam, Neeraj Shridhar & Antara Mitra",Golmaal 3 (Original Motion Picture Soundtrack),Bollywood,0,1,07/10/2010,2010,6,"22/09/2023, 5:27 AM","03/03/2023, 7:49 PM"
All Black,3:38,Raftaar & Sukh-E Muzical Doctorz,All Black - Single,Indian Pop,1,1,10/10/2015,2015,10,"18/09/2023, 6:08 PM","23/01/2023, 9:05 PM"
All Eyez On Me (feat. Big Syke),5:08,2Pac,All Eyez On Me,Hip-Hop/Rap,0,8,13/02/1996,1996,11,"09/09/2023, 6:29 AM","27/05/2023, 9:42 AM"
All the Way Up (feat. French Montana & Infared),3:12,Fat Joe & Remy Ma,All the Way Up (feat. French Montana & Infared) - Single,Hip-Hop/Rap,1,13,02/03/2016,2016,12,"22/09/2024, 11:09 AM","14/08/2020, 9:59 PM"
Allah Ve,4:25,Jassie Gill,Allah Ve - Single,Punjabi Pop,1,5,30/11/2019,2019,4,"10/10/2022, 10:38 AM","12/04/2022, 10:33 AM"
Alone,3:10,Jon Caryl,Alone - Single,Singer/Songwriter,0,,18/03/2022,2022,4,,"08/03/2023, 2:54 PM"
Alone,3:11,Rod Wave,Beautiful Mind,Hip-Hop/Rap,0,2,08/08/2022,2022,3,"12/01/2023, 12:16 PM","22/08/2022, 12:34 PM"
Am I Wrong,4:08,Nico & Vinz,Am I Wrong - Single,Pop,0,8,12/04/2013,2013,9,"17/01/2024, 5:20 PM","20/03/2021, 12:27 AM"
American Bad Dream,3:19,Kane Brown,Experiment Extended,Country,1,7,09/11/2018,2018,10,"09/09/2023, 8:20 AM","06/08/2020, 12:01 AM"
American Idiot,2:55,Green Day,American Idiot,Alternative,1,1,31/08/2004,2004,2,"27/04/2024, 10:22 AM","09/08/2023, 8:49 AM"
AmeriKKKa's Most Wanted,4:08,Ice Cube,AmeriKKKa's Most Wanted,Hip-Hop/Rap,0,1,17/04/1990,1990,,"22/06/2024, 7:14 AM","27/05/2024, 2:39 PM"
Amplifier,3:53,Imran Khan,Unforgettable,Worldwide,1,9,27/07/2009,2009,9,"30/04/2024, 8:35 AM","08/08/2020, 1:03 AM"
Animals,3:51,Maroon 5,V (Deluxe),Pop,1,7,22/08/2014,2014,5,"21/08/2024, 8:31 AM","06/08/2020, 9:59 PM"
Another Love,4:04,Tom Odell,Long Way Down,Singer/Songwriter,0,2,15/10/2012,2012,7,"21/08/2024, 7:35 AM","19/08/2022, 2:36 PM"
Antidote,3:07,Karan Aujla,Four Me (Apple Music Edition) - EP,New Age,0,1,26/06/2024,2024,,"06/10/2024, 7:05 PM","06/10/2024, 6:35 PM"
"Apna Bana Le (From ""Bhediya"")",4:22,"Arijit Singh, Sachin-Jigar & Amitabh Bhattacharya","Apna Bana Le (From ""Bhediya"") - Single",Bollywood,0,15,05/11/2022,2022,9,"07/09/2024, 8:16 AM","25/02/2023, 4:12 AM"
Are You Ready,4:10,AC/DC,The Razors Edge,Hard Rock,0,6,21/09/1990,1990,13,"08/10/2022, 9:38 PM","06/09/2020, 11:00 AM"
Arrest the President,3:54,Ice Cube,Everythangs Corrupt,Hip-Hop/Rap,1,6,09/11/2018,2018,9,"30/06/2023, 4:15 PM","10/09/2020, 10:55 AM"
As It Was,2:47,Harry Styles,Harry's House,Pop,0,2,31/03/2022,2022,7,"04/08/2024, 7:34 AM","11/09/2023, 6:50 AM"
As Long as You Love Me,3:41,Backstreet Boys,Backstreet's Back,Pop,1,5,06/05/1996,1996,6,"13/05/2024, 9:13 AM","07/09/2020, 10:24 PM"
As You Are (feat. Shy Carter),3:56,Charlie Puth,Nine Track Mind,Pop,0,1,29/01/2016,2016,1,"24/05/2024, 8:53 AM","30/04/2024, 9:16 PM"
Asal Mein,3:44,Darshan Raval,Asal Mein - Single,Indian,1,,18/02/2020,2020,5,,"23/05/2023, 3:44 PM"
A*****e (feat. Skylar Grey),4:49,Eminem,The Marshall Mathers LP2 (Deluxe),Hip-Hop/Rap,1,,05/11/2013,2013,8,,"05/08/2020, 11:21 PM"
A*****e (feat. Skylar Grey),4:49,Eminem,The Marshall Mathers LP2 (Expanded Edition),Hip-Hop/Rap,0,,05/11/2013,2013,,,"22/06/2024, 7:08 AM"
At Last,4:40,Etta James,The Essential Etta James,Jazz,0,,29/06/1999,1999,5,,"12/02/2024, 5:06 PM"
At My Worst,2:50,Pink Sweat$,The Prelude - EP,R&B/Soul,0,12,01/01/2020,2020,8,"17/01/2024, 4:29 PM","12/05/2021, 1:26 AM"
Attention,3:29,Charlie Puth,Voicenotes,Pop,1,10,21/04/2017,2017,9,"22/05/2024, 1:49 PM","06/08/2020, 8:41 PM"
Baaki Baatein Peene Baad (Shots) [feat. Badshah],3:40,Arjun Kanungo,Baaki Baatein Peene Baad (Shots) [feat. Badshah] - Single,Indian Pop,1,7,25/09/2015,2015,3,"20/04/2024, 9:40 AM","07/06/2023, 3:06 PM"
Baarish Lete Aana,3:34,Darshan Raval,Baarish Lete Aana - Single,Indian,1,11,18/07/2018,2018,6,"14/09/2023, 7:33 AM","07/08/2020, 12:48 AM"
Baatein Karo,3:15,Vayu,Baatein Karo - Single,Indian Pop,1,13,04/03/2020,2020,9,"29/09/2024, 9:36 PM","08/10/2020, 11:31 PM"
Baazigar,2:49,DIVINE & Armani White,Gunehgar,Rap,0,20,10/11/2022,2022,6,"16/07/2024, 6:14 PM","12/12/2022, 2:13 PM"
Baby Come Back to Me,3:46,Kane Brown,Experiment Extended,Country,2,7,09/11/2018,2018,15,"25/04/2024, 6:35 PM","06/08/2020, 12:01 AM"
"Baby, You're a Rich Man",3:01,The Beatles,Magical Mystery Tour,Rock,1,14,07/07/1967,1967,7,"17/07/2024, 7:19 AM","08/11/2020, 1:47 PM"
Bach Nayion Sakda,3:53,Prabh Gill,Nikka Zaildar (Original Motion Picture Soundtrack) - EP,Punjabi,0,2,22/09/2016,2016,9,"26/04/2023, 10:27 AM","01/05/2021, 9:46 PM"
Back In Black,4:16,AC/DC,Back In Black,Hard Rock,0,3,25/07/1980,1980,19,"03/08/2024, 6:53 AM","06/09/2020, 11:00 AM"
"Back In Time (From ""Men In Black III"")",3:26,Pitbull,"Back In Time (From ""Men In Black III"") - Single",Pop,0,,26/03/2012,2012,2,,"16/05/2023, 11:58 AM"
Back to Life (80s Remix),3:14,Hailee Steinfeld,"Back to Life (From the Motion Picture ""Bumblebee"") - Single",Soundtrack,0,1,21/12/2018,2018,8,"20/11/2023, 5:23 AM","11/06/2022, 6:43 PM"
Back To You,3:30,Selena Gomez,13 Reasons Why (Season 2),Pop,1,1,10/05/2018,2018,5,"12/04/2023, 7:36 AM","22/08/2022, 12:40 PM"
